Settings: pheremoneInit: 8, foodInit:0.9, alpha:10, randomLimit:1
Run: 3= 0.5761101, 49.44445, 0: 0.0252809, 1: 0.2247191, 2: 0.2247191, 3: 0.0252809, 4: 0.0252809, 5: 0.0252809, 6: 0.2247191, 7: 0.2247191, Next: 6
Run: 4= 0.3980885, 29.72222, 0: 0.04205607, 1: 0.3738318, 2: 0.04205607, 3: 0.04205607, 4: 0.3738318, 5: 0.04205607, 6: 0.04205607, 7: 0.04205607, Next: 1
Run: 5= 0.09212291, 49.44445, 0: 0.0252809, 1: 0.2247191, 2: 0.2247191, 3: 0.0252809, 4: 0.0252809, 5: 0.0252809, 6: 0.2247191, 7: 0.2247191, Next: 1
Run: 6= 0.7113457, 29.72222, 0: 0.04205608, 1: 0.04205608, 2: 0.04205608, 3: 0.04205608, 4: 0.3738318, 5: 0.04205608, 6: 0.3738318, 7: 0.04205608, Next: 6
Run: 7= 0.4126262, 49.44445, 0: 0.0252809, 1: 0.2247191, 2: 0.2247191, 3: 0.0252809, 4: 0.0252809, 5: 0.0252809, 6: 0.2247191, 7: 0.2247191, Next: 2
Run: 8= 0.4816011, 49.44445, 0: 0.0252809, 1: 0.0252809, 2: 0.0252809, 3: 0.2247191, 4: 0.2247191, 5: 0.2247191, 6: 0.0252809, 7: 0.2247191, Next: 4
Run: 9= 0.3114614, 29.72222, 0: 0.04205608, 1: 0.04205608, 2: 0.04205608, 3: 0.3738318, 4: 0.04205608, 5: 0.04205608, 6: 0.3738318, 7: 0.04205608, Next: 3
Run: 10= 0.9962538, 49.44445, 0: 0.0252809, 1: 0.0252809, 2: 0.0252809, 3: 0.2247191, 4: 0.2247191, 5: 0.2247191, 6: 0.0252809, 7: 0.2247191, Next: 7
Run: 11= 0.1410867, 49.44445, 0: 0.2247191, 1: 0.2247191, 2: 0.0252809, 3: 0.0252809, 4: 0.0252809, 5: 0.2247191, 6: 0.2247191, 7: 0.0252809, Next: 0
Run: 12= 0.1085752, 49.44445, 0: 0.0252809, 1: 0.0252809, 2: 0.0252809, 3: 0.2247191, 4: 0.2247191, 5: 0.2247191, 6: 0.0252809, 7: 0.2247191, Next: 3
Run: 13= 0.690052, 29.72222, 0: 0.04205608, 1: 0.04205608, 2: 0.04205608, 3: 0.04205608, 4: 0.3738318, 5: 0.04205608, 6: 0.3738318, 7: 0.04205608, Next: 6
Run: 14= 0.4446002, 49.44445, 0: 0.0252809, 1: 0.2247191, 2: 0.2247191, 3: 0.0252809, 4: 0.0252809, 5: 0.0252809, 6: 0.2247191, 7: 0.2247191, Next: 2
Run: 15= 0.6839064, 49.44445, 0: 0.0252809, 1: 0.0252809, 2: 0.0252809, 3: 0.2247191, 4: 0.2247191, 5: 0.2247191, 6: 0.0252809, 7: 0.2247191, Next: 5
